test_date,NYC_percentile,Richmond_w_percentile,Queens_w_percentile,Kings_w_percentile,Bronx_w_percentile,New York_w_percentile
2021-06-02,5.326801704799288,19.7,5.0,4.479099143728241,,4.0
2021-06-07,3.3249322907984977,9.25629616950369,2.81821513192194,2.3646698252936185,2.4,3.6688973222133874
2021-06-09,3.5566906825169635,6.355194288283309,3.9,3.1545243406278014,,3.0
2021-06-14,3.7916241239088353,7.828699025362034,1.483199582181033,4.549459095553611,1.9,3.377034225928871
2021-06-16,5.0673454424493585,8.1,3.969354996106135,10.731691834642374,1.8000000000000003,3.147847916300419
2021-06-21,4.928446301940234,5.647744061637705,3.0682367732898617,11.067558383453699,1.8000000000000003,2.9956958326008385
2021-06-23,4.8546419563745715,5.834312783307005,1.5627426491935887,7.4676221439359125,1.9,3.0
2021-06-28,5.297947168939813,6.9813222574644564,3.4,6.5820617173441835,,3.5521520836995806
2021-06-30,4.900150979485912,9.415635040771463,3.2229866262523315,6.69118862095607,1.8000000000000003,3.9
2021-07-07,5.297133984582145,18.165950158590054,3.8883550709976213,5.3102876964711125,2.2,4.877505657011711
2021-07-12,6.231678786843244,33.1,4.795926886851322,5.94318002364494,2.4,6.196167263683678
2021-07-14,7.453097080287121,15.718573390692475,6.1548657562452345,7.590564386449374,3.7,8.4
2021-07-19,7.470059464020765,13.356663463243818,6.645354515708964,8.23365069539071,4.0,7.002387799241001
2021-07-21,11.076410657368006,,,,,
2021-07-26,11.145686118712579,5.445907592937072,11.094199907481602,14.61540362968857,7.0,8.297612200759
2021-08-02,17.159317312686177,11.584224294678178,22.470123865914278,23.726088606667574,9.9,9.182739723921664
2021-08-04,19.78334011451185,15.31904503627567,23.579780897178903,23.732467834843707,12.3,12.487558928885356
2021-08-09,28.223982442616524,21.89218247961427,28.494243671001726,34.793238583831254,17.2,22.515802376348127
2021-08-11,32.01891887211859,27.810860222149813,34.945866976725114,35.74793996369207,28.800000000000004,24.357901188174065
2021-08-16,33.04101446198177,27.911594809630067,35.120955773887886,36.411129932445654,29.699999999999996,27.32057797483013
2021-08-18,32.54171774234797,26.53137443338599,31.243481011784517,33.78192048575813,,
2021-08-23,23.74211731037604,19.864585335472615,32.420730462728756,21.46214570167005,26.699999999999996,17.639711012584936
2021-08-25,16.292270084055232,10.958236990047391,20.723313700655737,16.936848498754866,11.8,13.033490477027613
2021-08-30,11.195122307558533,8.985099546708794,16.033652277073095,11.733770350956808,0.0,12.521520836995808
2021-09-01,11.610563193436514,8.339926541251973,13.72912618243951,11.450720544901152,9.8,10.923437205153968
2021-09-08,11.118074949513051,9.727597144141654,12.337964853704166,10.763602313449455,8.7,11.612912502197483
2021-09-13,13.873382473925005,15.34176300995261,12.778454889258686,14.61812390218823,9.9,15.121049405912968
2021-09-15,17.2159270025322,16.539926541251972,14.630597920207782,19.724436946373924,13.400000000000002,18.585642560727194
2021-09-20,16.174457223895917,19.408552107865983,14.565899973171447,17.4014209664486,12.5,16.614828870355645
2021-09-22,17.345568530060728,20.029066319102164,15.621204574493285,19.581164356877863,12.0,16.868897322213385
2021-09-27,14.818171106275768,18.809653989086364,13.531859842647417,17.941480765939016,10.5,11.610524702956484
2021-09-29,13.35554954333673,19.890976246550824,10.99948290415076,16.765217243260054,8.9,10.32918630962845
2021-10-04,14.196825838997972,17.209653989086362,15.718298009071795,16.420839818718033,7.700000000000001,10.318661606671967
2021-10-06,14.797698013608612,17.58987436533044,17.38790794330173,15.123672732917083,7.6,13.29905713783432
2021-10-13,14.034392367667838,9.2,20.192687570358103,12.098715725112536,5.6,14.013414577107126
2021-10-18,13.429851631068097,14.510021282826491,14.035916836833374,14.454747424302756,5.0,14.046905054134738
2021-10-20,9.91852023064157,20.499528354416803,10.584473510824226,11.56384201449495,3.1000000000000005,6.287558928885355
2021-10-25,9.405475810368264,16.63053549406267,9.937763238464836,11.258566812295124,2.8,6.316745238513807
2021-10-27,8.753149929549856,14.28315872616509,9.541810988026004,10.844746885264293,2.4,6.045931548142258
2021-11-03,7.009826863205792,7.080587669984203,7.740096609530465,8.628486018257037,3.3,4.781338393328032
2021-11-08,7.11277712820126,6.674239324558979,8.945475545826644,8.229659062533935,3.7,4.564593154814226
2021-11-15,9.526897396410961,7.859706165007898,11.854837250510055,10.352554377534975,4.8,7.627269941470291
2021-11-22,13.947395510290367,9.470933680897838,19.10527363787158,13.017856071393732,6.1,13.710524702956484
2021-11-29,19.344204474787556,12.370199093417584,27.91403547786466,16.271534718613548,8.3,20.697612200759
2021-12-01,23.490667727017527,14.843703830496311,31.835457319872113,21.7193580527465,14.400000000000002,22.47703422592887
2021-12-06,28.81743737927381,22.638090072551343,40.317086579573406,25.141933970859178,26.5,23.939239581502097
2021-12-08,29.90074111831222,28.705981051685093,37.51161850154064,27.647869439926577,23.0,27.783726192569034
2021-12-13,32.81300582391086,34.12576067544102,41.53356042529941,34.027732404795984,24.5,23.20047143108284
2021-12-15,36.526565775281625,39.609391047189305,43.83923283707937,39.026647829653356,21.6,28.586113991810034
2021-12-20,45.277854855817736,45.63247631460637,45.95251929917758,49.116875579390005,19.1,48.282281255493714
2021-12-27,45.7604138854828,50.55933887126776,42.61985749670882,50.12144977720135,37.1,44.17464642668787
2022-01-03,80.04907026962826,77.09181518587414,76.00123188515597,83.53888531344883,76.1,81.19186309628452
2022-01-05,70.68981788903946,69.58730330914956,68.22962754659567,75.38122616870363,64.8,68.1167452385138
2022-01-11,45.98852967620621,45.02161609245656,48.055067298667744,48.70286481126278,35.0,44.45215208369958
2022-01-13,47.34899892740378,39.40110188122038,43.56106651074613,55.38441431187958,30.5,37.91244107111464
2022-01-18,29.121391799992075,28.468992860354135,30.60824920071412,34.04397557098483,17.7,23.512441071114644
2022-01-20,18.61949669593323,17.754826994543187,19.847492956390678,22.046819283080985,7.799999999999999,15.75406845185774
2022-01-25,13.845017879184384,13.41453315955108,13.269006692877243,18.607043511230735,6.299999999999999,9.37273005852971
2022-01-27,7.774508579556356,9.234680077047132,6.9661826534241165,10.420116881101041,2.8,5.754068451857742
2022-02-01,6.88721880916462,7.674239324558979,6.250415084955598,9.077501661096955,2.8,5.272730058529709
2022-02-03,4.668846835897455,5.373872030818853,4.6045862564720546,6.008220389988141,2.4,3.137323213343935
2022-02-07,4.082798956709585,4.8137985720708265,4.072759437010389,5.232248686613737,2.1,2.6956958326008382
2022-02-09,3.1538617910980964,3.4735047370787258,3.729997085403039,3.676814491514141,1.3,2.212441071114645
2022-02-14,2.821248584255689,2.480220376244076,3.134788839653018,2.834882392602127,,2.0
2022-02-16,2.005628517627403,2.0268625566614014,2.6376629210679012,2.242529726426688,0.8,1.312441071114645
2022-02-23,1.4612060574280439,0.8,1.6536419983617647,1.7114957418860859,,0.8708136903715483
2022-02-28,1.615100537169565,0.9,2.098854706004515,1.9620882458141276,0.8,0.8416273807430967
2022-03-02,1.6399718510025505,0.653357819582675,2.163092563175263,1.7932582163714526,0.7,1.0
2022-03-07,1.4970080272125041,1.0,1.7617642307704988,1.7082856375084587,,0.9540684518577417
2022-03-09,1.390231372416397,1.4466421804173246,1.563870094541682,1.6712527155790955,0.7,0.9540684518577417
2022-03-14,1.4475165105439005,1.5332109020866245,1.3343192019738723,2.021070587339852,0.6,0.9832547614861934
2022-03-16,1.7468226544509906,2.0,1.3684096604451763,2.2701140282475443,,1.1956958326008384
2022-03-21,1.795754075767206,1.9600734587480253,1.545820895788452,2.6135174947406266,0.5,1.1478479163004192
2022-03-23,2.333458636961037,1.8134312783307003,2.0499037380820173,3.4586567845457545,0.4,1.62488214222929
2022-03-28,2.372939272943237,1.3,1.910943518675068,3.2174619788250785,,1.1
2022-03-30,3.658702543654182,2.453725113322802,2.4325752113082797,4.642348923001792,0.7,4.275411204084394
2022-04-04,3.995632793198228,3.1335781958267512,2.7077610725716816,5.476969005740677,0.8,4.476562794846031
2022-04-06,4.486782222132349,4.473872030818852,3.077191228756644,5.759290884918344,1.1,5.336851782261095
2022-04-11,5.226120321001351,5.240661128732229,3.776006137588585,7.270805185690087,1.0,5.105749104474483
2022-04-13,5.369601865213414,5.307082932905477,4.784431863051378,6.912218556799699,1.0,5.164121723731386
2022-04-18,6.30008207143562,6.080587669984203,6.058380758668698,8.44055279098032,1.4,4.889003865960675
2022-04-20,6.18985092912605,5.954092407062928,5.948605583726031,8.590437541834184,1.5,4.241155949660256
2022-04-25,7.480206431392895,5.907082932905477,8.074106925599342,9.774934154300722,2.1,5.338768150419256
2022-04-27,8.62843863568034,8.087670602889679,8.613727707121333,11.576864677195026,2.6,6.069870828205869
2022-05-02,9.549328361166378,10.061542633708534,10.795894161803805,11.680536545053306,3.3999999999999995,6.676091363763191
2022-05-04,12.647103727858465,12.24176300995261,14.094200932492765,16.128699798214296,4.0,8.41963511266445
2022-05-09,12.801312631621395,13.528699025362034,14.810716669979385,15.361367608885443,4.2,9.196669338593319
2022-05-11,13.669175191369275,13.428699025362034,16.75287061061252,16.211386505205386,4.0,9.486144635636835
2022-05-16,13.518082724334693,12.20781752038573,16.850256832145064,15.553364864010915,3.8999999999999995,10.181840468237674
2022-05-18,12.82588225340596,12.914165865810952,15.972924731201966,13.8517688611961,4.9,10.429688384538093
2022-05-23,12.841512736238652,12.447009474157452,15.311454143228818,14.611595806489413,4.5,10.252654158609221
2022-05-25,12.319637758392249,12.866789097913376,13.67585719900993,13.888978874773228,5.799999999999999,10.440213087494577
2022-06-01,12.02098638197571,12.74737676789758,12.605143149493868,14.568087305906266,4.7,9.638296719336417
2022-06-06,12.270508207201672,13.194753535795156,12.312386903387797,15.59045149934323,4.6,9.27800773192135
2022-06-08,12.32778579471519,12.054459700803054,14.040649135113407,15.133469401152308,3.7,8.922022911905449
2022-06-13,11.735087711958313,12.39438624205503,12.644136089395236,14.639636442166525,3.3999999999999995,8.763650292648546
2022-06-15,11.710248504915743,10.940661128732227,11.687292580077884,14.069735365628452,5.4,10.367954460047708
2022-06-22,13.585045031790187,11.76080804622828,12.297391970508203,17.09312989931574,7.299999999999999,12.02010654374729
2022-06-27,16.31608616408314,11.621248798716431,15.84845998757508,18.957921055101792,8.9,16.488061003794996
2022-06-29,15.800424500612984,13.974606618299104,16.565807276509684,18.76762569580483,6.200000000000001,14.054570526767383
2022-07-06,15.35372669049783,15.674606618299107,17.46590665802686,16.8513742471381,8.6,12.842129455652739
2022-07-11,14.750362958657822,18.735047370787257,16.912652826936224,17.288117834506277,8.2,9.317718744506289
2022-07-13,17.254580770344205,17.581322257464457,22.149196569510462,19.0641503987553,11.099999999999998,10.594752970435158
2022-07-18,16.391729333007465,16.0268625566614,20.79749104006546,18.026763845695598,10.5,10.700973505992481
2022-07-20,15.90968996126419,14.312696690850446,20.2251841677667,17.788169247220925,8.4,10.879924100079513
2022-07-25,14.325950100055795,10.471668268378092,18.1112221787459,15.88537719324616,9.9,9.830159815620933
2022-07-27,12.38270446182952,10.81794315505529,14.964177998982121,14.008823108972255,9.2,8.120106543747289
2022-08-01,12.435777311908295,11.445540299196946,14.353567484506733,15.253862456877432,8.7,6.959817556332225
2022-08-03,12.800018675842118,14.880587669984202,13.925550586974872,15.729195335799263,8.5,7.513886008189965
2022-08-08,12.898174660147902,15.400734587480255,14.999927447035892,15.390775006794698,7.799999999999999,7.413886008189966
2022-08-10,13.029279060197224,14.548845942858087,15.764209061276949,15.364945025819859,7.200000000000001,7.6095818407908045
2022-08-15,12.025352449864894,13.782424138684835,14.266075027251926,13.458419875002072,7.6,8.1512092215339
2022-08-17,10.758370285430638,12.848845942858086,13.36608790674003,11.578998835587221,8.0,6.84929285337574
2022-08-22,11.479401452624897,12.595120829535285,13.938076758183822,12.609246496971988,7.9,7.697140769676159
2022-08-24,11.455672685354825,12.061175339968408,12.8674019264862,13.23339752764967,8.3,7.761733924490385
2022-08-29,10.488168824964129,11.07423932455898,12.545506351058302,12.099442957347692,7.200000000000001,6.366038091889547
2022-08-31,9.938456824579223,9.780587669984204,12.444706084733664,11.114673391220697,6.799999999999999,6.1703422592887085
2022-09-07,6.596106197323114,10.78205684494471,8.058957661691053,6.780775356499321,4.5,4.268425891130548
2022-09-12,6.042622513582404,10.195488123275412,7.335504470385645,5.916988681227058,4.1,4.410053271873644
2022-09-14,4.502565714384663,7.495120829535284,4.666842716047841,4.751531859624884,2.8999999999999995,3.739239581502096
2022-09-19,4.78276898471405,7.8018364687006345,4.7968762561957465,5.023778135117277,3.0,4.2808669622451925
2022-09-21,5.983654477629026,7.08095496372433,6.0597815032724585,6.101802420569504,3.7,6.326798510387451
2022-09-26,6.909273967630941,8.794753535795158,6.855673704185342,7.255545456386006,4.0,7.057901188174063
2022-09-28,8.612618826062365,10.627964437881781,8.387648660043014,9.731263623909243,5.6,7.622494342988289
2022-10-05,8.291886793483421,11.335047370787258,7.524511537614791,10.941101796561481,4.7,5.241155949660256
2022-10-12,8.570199689727671,10.515267747031334,8.612187338170791,11.241005505086974,3.6000000000000005,5.351680652616741
2022-10-17,8.469961215377783,10.461175339968406,8.748304943495146,10.538264280985823,3.3,6.091391665201677
2022-10-24,9.490264273044298,11.767890979133755,10.759821523273546,10.46011477673814,4.3,7.77464642668787
2022-10-26,9.332101332074487,12.781689551204584,11.184971152620596,9.552079086007092,5.0,7.57273005852971
2022-10-31,9.96617463318589,14.328699025362035,11.20262010679725,11.205858994188155,5.799999999999999,6.857901188174063
2022-11-02,11.109091753238552,14.701836468700634,11.869227961591495,12.57713474732614,6.9,8.393308033359839
2022-11-09,15.429340305802677,17.694753535795154,16.159505017652474,18.75441587978014,10.8,10.011969640031806
2022-11-14,16.690578891835727,17.36190992744866,17.82736672849415,20.432959384568946,10.7,11.02010654374729
2022-11-16,16.64050451968163,15.701836468700634,17.74526190817861,21.04760243737986,10.7,10.243072317818417
2022-11-21,15.703140377135796,15.567890979133754,16.824353730461283,19.793108947714252,8.9,9.982783330403354
2022-11-29,17.761773661860026,16.161542633708535,16.23154439499185,21.61523902310934,8.4,14.5
2022-12-01,21.340756342424687,21.416736921991838,22.69077806369152,26.45746905040088,,13.401444937075322
2022-12-06,22.459252287616334,21.896957298235918,26.231915861735796,28.48075977317054,11.099999999999998,12.118190175589127
2022-12-08,21.692394539309277,19.95629616950369,25.47629817663884,27.754590026546875,11.0,11.30144493707532
2022-12-12,20.393463455258573,18.516002334511587,24.115891461122217,25.815708516902696,9.4,11.357429757091223
2022-12-19,17.45969234949415,17.588772484110063,19.621788840569764,23.223565827600527,7.9,8.601444937075321
2022-12-21,18.535622396553325,19.229066319102163,19.63597049393951,24.61274314440899,8.5,10.455513388933063
2022-12-28,19.33741655576796,26.163379102409166,18.172675430660668,26.948464735356424,8.7,9.94737648521758
2023-01-09,15.905488431379178,21.73688383948789,18.055897022921926,20.882782783734687,5.700000000000001,7.215802376348127
2023-01-11,13.631235049593252,16.216002334511586,17.532377517850794,16.653529531941835,6.0,6.055984820015903
2023-01-18,12.481938089873916,17.12906631910216,14.963633406094269,15.009808079649215,6.200000000000001,6.39952856891716
2023-01-23,9.86912821703583,16.45519428828331,10.643093251950418,11.757879121222963,6.0,5.480866962245193
2023-01-25,7.626279094713249,15.836149252007639,7.473308040811488,8.551801960431842,4.6,5.278479163004192
2023-01-30,8.146137360528241,14.808919401606111,8.108709118766706,10.073250878709553,4.6,4.518190175589127
2023-02-01,8.76981545780974,13.295120829535284,9.255530247188126,10.877530097604401,5.700000000000001,4.557901188174063
2023-02-07,8.829755590520946,12.74811135537783,8.78511166828143,11.366042331437772,5.3,4.851680652616741
2023-02-08,9.102821748907196,12.587670602889682,9.057131225494434,11.891263090149558,5.5,4.826798510387451
2023-02-13,8.068980774342018,12.048111355377833,8.29705264724731,9.827688476987289,4.9,4.962205355573225
2023-02-15,6.430652495804908,11.321983386196685,6.642477353938137,7.612618692509634,3.6000000000000005,3.9789505940870318
2023-02-22,5.06348478895078,8.701836468700634,6.229147484845433,5.4192824061150455,3.1000000000000005,2.8832547614861936
2023-02-27,4.858970569452808,7.361542633708533,5.492236520880368,5.366074295667283,3.5,3.1062205355573225
